___,_____,_____,______
1_image_1.png,241.839,336.01,4.5015
1_image_2.png,250.977,363.242,5.53749
,,,
2_image_1.png,239.149,324.087,0.360901
2_image_2.png,253.197,308.229,4.28476
2_image_3.png,242.348,349.801,3.3936
2_image_4.png,236.768,313.026,5.42132
,,,
3_image_1.png,238.902,394.631,4.80948
3_image_2.png,240.968,367.431,0.329474
3_image_3.png,248.989,358.348,5.57342
3_image_4.png,263.786,365.897,0.599083
,,,
4_image_1.png,243.109,344.748,5.30384
4_image_2.png,244.849,370.277,-2.17127
4_image_3.png,255.241,369.789,-3.20535
,,,
,,,
,,,
,,,